config,instance,seed,obj_t0_checkpoint,obj_t15,obj_t30,obj_t60
no_restart,MS18d,6,415.305025,401.59929,401.306845,401.307
no_restart,MS18d,7,415.289513,401.30932,401.060225,395.658
no_restart,MS18d,8,415.361344,402.862774,397.012223,397.012
no_restart,MS18d,9,410.104848,400.36396,394.366052,393.637
no_restart,MS19d,1,367.139417,355.526644,355.526644,355.527
no_restart,MS19d,10,370.836049,353.936629,353.936629,353.937
no_restart,MS19d,2,364.732019,363.185487,355.640067,355.64
no_restart,MS19d,3,363.112863,356.044716,353.946921,353.461
no_restart,MS19d,4,363.903358,354.836548,348.502934,348.503
no_restart,MS19d,5,369.871986,346.535588,346.104977,345.957
no_restart,MS19d,6,372.661535,352.538497,352.538497,350.822
no_restart,MS19d,7,370.524404,357.382239,355.528532,353.326
no_restart,MS19d,8,363.59565,359.877,358.314578,358.178
no_restart,MS19d,9,364.101645,362.817828,357.63026,357.63
no_restart,MS1d,1,170.908326,170.908326,170.908326,170.908
no_restart,MS1d,10,170.908326,170.908326,170.908326,170.908
no_restart,MS1d,2,170.908326,170.908326,170.908326,170.908
no_restart,MS1d,3,170.908326,170.908326,170.908326,170.908
no_restart,MS1d,4,170.908326,170.908326,170.908326,170.908
no_restart,MS1d,5,170.908326,170.908326,170.908326,170.908
no_restart,MS1d,6,170.908326,170.908326,170.908326,170.908
no_restart,MS1d,7,170.908326,170.908326,170.908326,170.908
no_restart,MS1d,8,170.908326,170.908326,170.908326,170.908
no_restart,MS1d,9,170.908326,170.908326,170.908326,170.908
no_restart,MS20d,1,338.166475,335.213989,327.438807,326.942
no_restart,MS20d,10,338.59355,335.821689,334.012978,333.807
no_restart,MS20d,2,340.963726,339.054486,329.233311,327.764
no_restart,MS20d,3,334.1254,330.802237,324.935049,324.12
no_restart,MS20d,4,340.92487,338.655141,326.120849,325.657
no_restart,MS20d,5,336.29649,334.731919,328.179036,327.353
no_restart,MS20d,6,338.597906,332.755281,324.281389,323.709
no_restart,MS20d,7,334.841172,331.014106,327.996079,324.569
no_restart,MS20d,8,339.527168,334.198882,332.964396,332.201
no_restart,MS20d,9,340.612071,330.360298,324.648043,321.755
no_restart,MS21d,1,259.59977,248.693509,248.693509,247.644
no_restart,MS21d,10,261.458421,249.510031,249.510031,249.51
no_restart,MS21d,2,257.075828,252.20695,252.20695,251.399
no_restart,MS21d,3,257.075828,253.891186,252.903661,252.758
no_restart,MS21d,4,258.642274,253.917129,253.783398,253.642
no_restart,MS21d,5,257.075828,251.168848,249.188743,249.189
no_restart,MS21d,6,262.213044,251.14969,250.42869,250.429
no_restart,MS21d,7,257.075828,251.500058,251.500058,249.123
no_restart,MS21d,8,257.075828,255.05497,254.133272,252.749
no_restart,MS21d,9,256.788451,247.214547,247.214547,247.215
no_restart,MS22d,1,403.441811,395.858234,394.749132,394.304
no_restart,MS22d,10,395.912242,395.912242,395.912242,395.912
no_restart,MS22d,2,406.33657,395.280787,395.280787,395.281
no_restart,MS22d,3,400.619132,395.151988,395.151988,394.807
no_restart,MS22d,4,403.326839,397.181382,395.894559,395.895
no_restart,MS22d,5,409.786078,398.001209,398.001209,398.001
no_restart,MS22d,6,403.76183,394.420755,394.420755,394.421
no_restart,MS22d,7,409.4171,397.376613,397.376613,397.377
no_restart,MS22d,8,402.524619,395.539322,395.539322,395.539
no_restart,MS22d,9,407.206681,397.133975,397.133975,397.134
no_restart,MS23d,1,374.121261,363.503785,363.503785,363.504
no_restart,MS23d,10,382.938371,366.444279,363.503785,363.504
